이름,영문 이름,defName,출처 모드,packageId,건축 탭,크기,칸 수,통행,전력,중력선,특징,연구,건설 비용,체력,작업량,아름다움,지형 조건,포장 가능,설명,제작 레시피 수,대표 제작품,실제 적용값(모드 설정)
나노 조립기,nanoassembler,EccentricNanoassembler,Eccentric Tech - Core,aelanna.eccentrictech.core,생산,3x2,6,통과만,-600 W,,"작업칸 (0,0,-1)",nanofabrication,"Steel 250, Plasteel 150, ComponentSpacer 2",500,10000,,Heavy,예,"편심 무기, 스마트 의류 및 장비를 조립하기 위한 고급 제작대입니다.",8,"고 에너지 쉴드 코어, M36 PGM (고폭탄), M38 PGM (소이탄), M39 PGM (EMP탄), M48 PGM (대전차 고폭탄), M56 PGM (번아웃 쉴드탄), M61 PGM (반물질탄), 원격 포격 지시기",
M51 차지 오토캐논 함포,M51 charge autocannon turret,Eccentric_Turret_M51AC,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,2x2,4,통과만,-600 W,,연료 Plasteel 120 / 설치조건: OnSubstructure,networked turrets,"Steel 250, Plasteel 100, ComponentIndustrial 8",500,10000,-5,Heavy,,"M51 함포는 군용 우주함에서 사용되는 함선 장착형 쌍열 차지샷 자동포입니다. 강력하고 견고하지만, 중력부양선 하부구조 위에만 설치할 수 있으며 방어망 콘솔을 통한 외부 제어가 필수적입니다.\n\n공급망에 연결되어 있다면 네트워크에 저장된 물품을 이용해 자동으로 탄약을 보충할 수 있습니다.",,,
M64 레일건 함포,M64 railgun turret,Eccentric_Turret_M64RG,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,2x2,4,통과만,-800 W,,연료 Uranium 30 / 설치조건: OnSubstructure,networked turrets,"Steel 250, Plasteel 50, Uranium 60, ComponentIndustrial 8",500,10000,-5,Heavy,,"M64 함포는 군용 우주함에서 사용되는 함선 장착형 레일건으로, 소형 대함 무기로 설계되었습니다. 강력하고 견고하지만, 중력부양선 하부구조 위에만 설치할 수 있으며 방어망 콘솔을 통한 외부 제어가 필수적입니다.\n\n공급망에 연결되어 있다면 네트워크에 저장된 물품을 이용해 자동으로 탄약을 보충할 수 있습니다.",,,
근접 센서 타워,proximity sensor tower,Eccentric_ArtillerySensorTower,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,1x1,1,통과만,-250 W,,,networked artillery,"Steel 100, Plasteel 10, ComponentIndustrial 2",150,2500,-5,Medium,,방어망 네트워크에 연결하면 유도탄을 원격으로 조준할 수 있는 정교한 센서 제품입니다. 연결된 네트워크의 미사일 런처는 중앙 콘솔에서 센서 타워 범위 내에 있는 표적을 향해 직접 발사할 수 있습니다.,,,
방어망 도관,defense grid conduit,Eccentric_DefenseConduit,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,1x1,1,가능,,,,networked defenses,"Plasteel 5, Chemfuel 1",100,60,-2,Light,,군용 쉴드와 무기 시스템을 연결하는 데 사용되는 고 에너지 전력 링크와 냉각수 파이프라인이 포함된 정교한 도관입니다.\n\n벽이나 다른 건물 아래에 설치할 수 있습니다.,,,
방어망 콘솔,defense grid console,Eccentric_DefenseGridConsole,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,1x1,1,통과만,,,"작업칸 (0,0,-1)",networked defenses,"Steel 50, Plasteel 20, ComponentIndustrial 1, ComponentSpacer 1",100,2500,-5,Medium,,연결된 방어망 네트워크를 직접 제어할 수 있는 콘솔입니다. 원격으로 포격 지정을 하려면 콘솔에 사람이 있어야 합니다.,,,
수직 미사일 런처,vertical missile launcher,Eccentric_ArtilleryVerticalMissileLauncher,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,2x2,4,통과만,-250 W,,,networked artillery,"Steel 150, Plasteel 50, ComponentIndustrial 4",400,5000,-5,Medium,,"군용 우주선에 사용되는 유닛을 기반으로 한 소형 수직 미사일 런처로, 원격으로 발사할 수 있으며 다양한 네트워크 장치에서 단말기 유도를 받을 수 있습니다. 엔진이 점화되기 전에 미사일을 발사하는 소프트 발사 시스템을 사용하여 발사기의 손상을 최소화하고 신속하게 재장전할 수 있습니다.",,,
숨겨진 방어망 도관,hidden defense grid conduit,Eccentric_DefenseConduitUnderground,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,1x1,1,가능,,,,networked defenses,"Plasteel 5, Chemfuel 1, Steel 3",150,300,0,Light,,"군용 쉴드와 무기 시스템을 연결하는 데 사용되는 고 에너지 전력 링크와 냉각수 파이프라인이 포함된 정교한 도관입니다.\n\n이 도관은 지하에 매설되기 때문에 건설에 더 많은 작업과 자재가 필요하지만, 도관이 손상되지 않도록 보호하고 주변을 덜 어수선하게 만듭니다.",,,
쉴드 방열판,shield heatsink,Eccentric_ShieldHeatsink,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,2x2,4,통과만,,,,networked shields,"Steel 100, ComponentIndustrial 2",200,2500,-5,Medium,,네트워크로 연결된 쉴드 제너레이터의 열을 방출하는 데 사용되는 대용량 방열판입니다.\n\n열을 받으려면 방어망 도관을 통해 쉴드 제너레이터에 연결해야 합니다.,,,
쉴드 제너레이터,shield generator,Eccentric_ShieldGenerator,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,3x3,9,통과만,-800 W,,조명 반경 5,networked shields,"Steel 100, Plasteel 100, ComponentSpacer 2, Eccentric_HighEnergyShieldCore 1",300,5000,-5,Medium,,"연결된 프로젝터와 함께 작동하도록 설계된 군용 중앙 집중식 쉴드 발생 장치입니다.\n\n이 장치는 자체적으로 발사체를 요격할 수 없으며, 방어망 네트워크를 통해 쉴드 프로젝터와 쉴드 커패시터에 연결해야 합니다. 또한 발사체를 요격하면 많은 양의 열이 발생하므로 방열판을 통해 열을 방출해야 합니다.",,,
쉴드 커패시터,shield capacitor,Eccentric_ShieldCapacitor,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,2x2,4,통과만,-400 W,,,networked shields,"Steel 100, ComponentIndustrial 2",200,2500,-5,Medium,,"네트워크 쉴드 제너레이터에 전원을 공급하는 데 사용되는 고 에너지 커패시터입니다.\n\n충전하려면 전원에 직접 연결해야 하며, 전원이 공급되지 않으면 빠르게 방전됩니다.",,,
쉴드 프로젝터,shield projector,Eccentric_ShieldProjector,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,2x2,4,통과만,,,조명 반경 4,networked shields,"Steel 50, Plasteel 20, Gold 1, ComponentSpacer 1",300,2500,-5,Medium,,"넓은 지역을 보호하기 위해 서로 연결하여 사용할 수 있도록 설계된 쉴드 프로젝터입니다.\n\n쉴드 프로젝터에 직접 전원을 공급할 필요는 없지만, 활성화된 쉴드 제너레이터와 쉴드 커패시터가 있는 방어망 네트워크에 연결해야 작동합니다. 또한 발사체를 차단하면 많은 양의 열이 발생하므로 방열판을 통해 열을 방출해야 합니다.",,,
쉴드 프로젝터 (3x3 광역),shield projector (3x3 wide-area),Eccentric_ShieldProjector3x3Wide,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,3x3,9,통과만,,,조명 반경 8,networked shields,"Steel 100, Plasteel 50, Gold 2, ComponentSpacer 2, Eccentric_HighEnergyShieldCore 1",400,5000,-5,Medium,,"넓은 지역을 보호하기 위해 서로 연결하여 사용할 수 있도록 설계된 쉴드 프로젝터입니다.\n\n쉴드 프로젝터에 직접 전원을 공급할 필요는 없지만, 활성화된 쉴드 제너레이터와 쉴드 커패시터가 있는 방어망 네트워크에 연결해야 작동합니다. 또한 발사체를 차단하면 많은 양의 열이 발생하므로 방열판을 통해 열을 방출해야 합니다.\n\n이 프로젝터는 훨씬 더 넓은 영역을 보호할 수 있지만, 자체적인 쉴드",,,
쉴드 프로젝터 (광역),shield projector (wide-area),Eccentric_ShieldProjectorWide,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,2x2,4,통과만,,,조명 반경 8,networked shields,"Steel 100, Plasteel 50, Gold 2, ComponentSpacer 2, Eccentric_HighEnergyShieldCore 1",400,5000,-5,Medium,,"넓은 지역을 보호하기 위해 서로 연결하여 사용할 수 있도록 설계된 쉴드 프로젝터입니다.\n\n쉴드 프로젝터에 직접 전원을 공급할 필요는 없지만, 활성화된 쉴드 제너레이터와 쉴드 커패시터가 있는 방어망 네트워크에 연결해야 작동합니다. 또한 발사체를 차단하면 많은 양의 열이 발생하므로 방열판을 통해 열을 방출해야 합니다.\n\n이 프로젝터는 훨씬 더 넓은 영역을 보호할 수 있지만, 자체적인 쉴드",,,
원격 포탑 컨트롤러,remote turret controller,Eccentric_DefenseTurretController,Eccentric Tech - Defense Grid,aelanna.eccentrictech.defensegrid,방어,1x1,1,가능,,,,networked defenses,"Steel 60, ComponentIndustrial 2",100,2500,-5,Medium,,방어망 콘솔을 통해 유인 포탑을 원격으로 제어할 수 있는 인터페이스입니다. 한 명의 정착민이 하나의 콘솔에서 네트워크에 연결된 모든 유인 포탑을 제어할 수 있습니다.,,,
3D 프린터,3D printer,HobbesLink_3DPrinter,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,1x1,1,통과만,-435 W,,연결 설비 [WorkTableWorkSpeedFactor 0.50],automated fabrication links,"Steel 120, Plasteel 20, ComponentSpacer 4, ComponentIndustrial 8",150,5000,,Light,예,작업대에 인접해서 배치하면 연결된 작업대의 작업 속도가 50% 증가합니다. 하나의 작업대에 최대 2개까지 연결이 가능합니다.\n\n디지털 모델을 바탕으로 재료를 층층이 쌓아 실제 물체를 만들어 내는 3D 프린터입니다. 제작 속도를 끌어올려 귀중한 시간을 아껴 줍니다.,,,
CNC 머신,CNC machine,HobbesLink_CNCMachine,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,2x1,2,통과만,-300 W,,연결 설비 [WorkTableWorkSpeedFactor 0.50],precision machining networks,"Steel 320, ComponentIndustrial 8",400,3600,,Light,예,"작업대에 인접해서 배치하면 연결된 작업대의 작업 속도가 50% 증가합니다. 하나의 작업대에 최대 1개까지 연결이 가능합니다.\n\n최신 기술이 집약된 CNC(컴퓨터 수치 제어) 기계입니다. 컴퓨터의 정밀도로 공구와 부품을 다루어, 작업에 필요한 정교한 부품을 깎아냅니다.",,,
개인용 컴퓨터,personal computer,HobbesLink_PersonalComputer,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,1x1,1,통과만,-25 W,,연결 설비 [ResearchSpeedFactor 0.15],lab electronics integration,"Steel 90, ComponentIndustrial 3, ComponentSpacer 1",100,1200,,Light,예,"작업대에 인접해서 배치하면 연구 속도가 15% 증가합니다. 하나의 작업대에 최대 3개까지 연결이 가능합니다.\n\n개인이 쓰도록 설계된 개인용 컴퓨터(PC)로, 정착지에 두루 쓸모가 있습니다. 넉넉한 CPU 성능과 메모리, 저장 공간을 갖춰 개인의 온갖 필요를 채워 주는 필수 도구입니다.",,,
공업 선반,lathe,HobbesLink_Lathe,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,2x1,2,통과만,-300 W,,연결 설비 [WorkTableWorkSpeedFactor 0.30] 거리 4,workshop ergonomics,"Steel 220, ComponentIndustrial 5",100,3600,,Light,예,"연결된 작업대의 작업 속도가 30% 증가합니다. 하나의 작업대에 최대 1개까지 연결이 가능합니다.\n\n작업장의 든든한 동반자인 선반입니다. 공작물을 손쉽게 회전시켜 절삭과 단면 가공, 드릴링, 널링, 나사내기를 정밀하게 해냅니다.",,,
교류 발전기,alternator,HobbesLink_Alternator,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,1x1,1,통과만,,,연결 설비 [PowerOutputFactor 0.2] 거리 8,grid conditioning,"Steel 140, ComponentIndustrial 3",100,1200,,Light,예,전력 출력이 20% 증가합니다. 하나의 발전기에 최대 2개까지 연결이 가능합니다.\n\n기계 에너지를 설비에 꼭 필요한 교류(AC) 전력으로 매끄럽게 바꿔 주는 발전 장치입니다.,,,
냉각 모듈,cooling module,HobbesLink_CoolingModule,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,2x1,2,통과만,,,연결 설비 [PowerOutputFactor 0.4] 거리 8,thermal power management,"Steel 220, ComponentIndustrial 4",100,1200,,Light,예,"전력 출력이 40% 증가합니다. 하나의 발전기에 최대 2개까지 연결이 가능합니다.\n\n발전소용 냉각 모듈입니다. 뜨거운 물이나 증기를 효율적으로 식혀 다시 쓸 수 있는 물로 응축시킵니다. 폐열을 알맞게 다스려 최적 온도를 유지하고, 발전소가 매끄럽게 돌아가게 합니다.",,,
냉각탑,cooling tower,HobbesLink_CoolingTower,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,3x3,9,불가,,,연결 설비 [PowerOutputFactor 0.6],thermal power management,"Steel 320, Plasteel 30, ComponentIndustrial 6",100,1200,,Light,예,"발전기에 인접해서 배치하면 전력 출력이 60% 증가합니다. 하나의 발전기에 최대 2개까지 연결이 가능합니다.\n\n발전기 효율을 끌어올리는 데 있어 단연 으뜸인 냉각탑입니다. 온도를 능숙하게 다스려 최적의 성능을 보장하므로, 발전 설비에 없어서는 안 될 부품입니다.",,,
레이저 조각기,laser engraver,HobbesLink_LaserEngraver,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,1x1,1,통과만,-50 W,,연결 설비,precision machining networks,"Steel 110, Plasteel 10, ComponentIndustrial 4",100,1200,,Light,예,"작업대에 인접해서 배치하면 연결된 작업대의 생산 품질이 1 증가합니다. 하나의 작업대에 최대 1개까지 연결이 가능합니다.\n\n레이저 빔으로 정교한 도안을 새기거나 잘라내는 기계입니다. 목재와 금속, 유리, 플라스틱까지 온갖 재료를 다룰 수 있어 어떤 제작 작업에나 요긴합니다.",,,
로봇 어시스턴트,robot assistant,HobbesLink_RobotAssistant,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,4x4,16,통과만,-850 W,,연결 설비 [WorkTableWorkSpeedFactor 1.0],automated fabrication links,"Steel 420, Plasteel 100, ComponentIndustrial 20, ComponentSpacer 8",750,15000,,Light,예,"작업대에 인접해서 배치하면 연결된 작업대의 작업 속도가 100% 증가합니다. 하나의 작업대에 최대 1개까지 연결이 가능합니다.\n\n조립과 용접, 도장, 포장을 위해 설계된 산업용 로봇으로, 작업에 큰 힘을 보탭니다. 모드를 전환할 수 있어서 ""부스트"" 모드는 일반적인 연결 시설처럼 작동하고, 다른 모드에서는 연결된 작업대 주변 작업의 남은 작업량을 주기적으로 줄여 줍니다.",,,
바이스,vice,HobbesLink_Vice,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,1x1,1,통과만,,,연결 설비 [WorkTableWorkSpeedFactor 0.05] 거리 4,workshop ergonomics,"Steel 45, ComponentIndustrial 1",75,2000,,Light,예,"연결된 작업대의 작업 속도가 5% 증가합니다. 하나의 작업대에 최대 2개까지 연결이 가능합니다.\n\n기계식 고정 장치로 만들어진 바이스입니다. 작업하는 동안 물체를 단단히 붙잡아 주어, 그 한결같은 안정감만으로도 작업 속도를 크게 끌어올립니다.",,,
배전반,breaker box,HobbesLink_BreakerBox,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,1x1,1,통과만,,,연결 설비 [PowerOutputFactor 0.05],grid conditioning,"Steel 80, ComponentIndustrial 2",100,1200,,Light,예,발전기에 인접해서 배치하면 전력 출력이 5% 증가합니다. 하나의 발전기에 최대 1개까지 연결이 가능합니다.\n\n발전기 가까이에 알맞게 놓으면 그 효율을 크게 높여 주는 배전반입니다. 핵심 요소로서 전력 배분을 최적화해 전기 설비 전체의 성능을 끌어올립니다.,,,
변압기,transformer,HobbesLink_Transformer,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,3x1,3,통과만,,,연결 설비 [PowerOutputFactor 0.2] 거리 8,grid conditioning,"Steel 180, ComponentIndustrial 4",100,1200,,Light,예,"전력 출력이 20% 증가합니다. 하나의 발전기에 최대 2개까지 연결이 가능합니다.\n\n전자기 유도로 회로 사이에 에너지를 매끄럽게 옮겨 주는 변압기입니다. 전압을 능숙하게 조절해 먼 거리까지 전력을 효율적으로 보내고 나눠 주는, 에너지 관리의 주춧돌입니다.",,,
산업용 오븐,industrial oven,HobbesLink_IndustrialOven,Even More Linkables Reupload,hobbes.bamba.evenmorelinkables16,기타,1x1,1,통과만,-75 W,,연결 설비 [WorkTableWorkSpeedFactor 0.10],workshop ergonomics,"Steel 70, ComponentIndustrial 3",100,1500,,Light,예,"작업대에 인접해서 배치하면 연결된 작업대의 작업 속도가 10% 증가합니다. 하나의 작업대에 최대 1개까지 연결이 가능합니다.\n\n생산성을 높이기 위해 만든 오븐입니다. 여러 가공 설비와 매끄럽게 연결되며, 공정의 어느 단계에나 두루 어울려 효율을 높여 줍니다.",,,
